Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,25.0481567,0.7381741,0.2675207,30671057.7152,3272052
HAC++-lowrate,25.0757256,0.7317612,0.2894176,13466651.8528,1093342
