Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,26.5191116,0.760686,0.2653402,22045156.9664,2180314
HAC++-lowrate,26.5626774,0.7568176,0.2886792,9854202.6752,681193
