Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,21.2818737,0.5755351,0.3746999,25365892.3008,2618798
HAC++-lowrate,21.2626152,0.5685298,0.3928768,11194387.6608,936957
