Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,27.4858608,0.8498282,0.1395575,28543706.7264,2580311
HAC++-lowrate,27.1949329,0.8324122,0.1785261,13457634.0992,958290
