Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,31.8121586,0.9311182,0.1216214,11919163.392,1111203
HAC++-lowrate,31.1997204,0.9227301,0.1371367,5518655.488,478483
