Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,32.0452271,0.9280137,0.1964585,7913917.6448,606828
HAC++-lowrate,31.7542725,0.9199395,0.2171226,3571449.856,263069
