Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,33.1686554,0.9502439,0.1786124,11690364.1088,975172
HAC++-lowrate,32.6597328,0.9444789,0.190346,5615019.6224,465862
