Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,29.8072586,0.9194021,0.183422,10206943.6416,861298
HAC++-lowrate,29.3699074,0.9095044,0.2028968,4919708.8768,384976
