Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,23.1950893,0.6453395,0.3494535,26060364.1856,2468289
HAC++-lowrate,23.3054256,0.6384284,0.3794741,11083553.1776,874126
