Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,26.0621815,0.885749,0.1484506,8011540.0704,793360
HAC++-lowrate,25.8881264,0.8829989,0.1556121,5940497.6128,569475
