Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,22.6032391,0.8212478,0.21288,6510398.6688,638962
HAC++-lowrate,22.5420475,0.8151098,0.2251818,4913312.5632,453102
