Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,30.9313145,0.9129729,0.2548769,4563507.6096,522152
HAC++-lowrate,30.6873989,0.908865,0.2679145,2535771.3408,266328
