Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,29.7560005,0.9081463,0.2530017,6516375.552,762878
HAC++-lowrate,29.6318588,0.9049881,0.2644789,3566626.4064,390716
