Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,26.4800835,0.9518108,0.0412393,2586312.704,313883
HAC++-lowrate,26.1692944,0.9503902,0.0449946,948541.8496,64392
