Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,31.5441704,0.9043211,0.1109901,3593260.2368,358376
HAC++-lowrate,31.2590351,0.902926,0.1250285,1360632.2176,84227
