Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,35.6006393,0.9864177,0.0124824,1719769.4976,161587
HAC++-lowrate,33.8960724,0.979696,0.0214936,685349.2736,42341
