Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,35.7721329,0.9815261,0.0177726,1916901.7856,206795
HAC++-lowrate,34.3277779,0.9756485,0.0274897,843579.392,66562
