Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,30.7099152,0.9620196,0.0384112,1994076.9792,229252
HAC++-lowrate,30.2247696,0.9586655,0.0455695,908381.3888,70635
