Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,37.8926468,0.9839969,0.023107,1031589.0688,97052
HAC++-lowrate,36.5279465,0.9786149,0.0350866,468294.0416,21835
