Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,35.2493248,0.9860713,0.0126728,1486146.7648,145178
HAC++-lowrate,34.5266151,0.9835396,0.0161909,675282.944,38007
