Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC++-highrate,36.7916908,0.991946,0.0076208,1146617.856,134225
HAC++-lowrate,35.2071533,0.9889121,0.0116949,458122.8544,21666
